Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16378170,"The Debauchery Tea Party","2026-06-29 17:56:08",1213.0,2,"hirotosasaoka,satoshihaimura,sizumita"
2,16420537,tonakaiiii,"2026-07-01 17:04:22",1209.0,2,"santa0677,tonakaiiii"
3,16381433,"Dick Jessen William","2026-06-25 13:23:33",1202.4,2,dickjessenwilliam
4,16393745,ShumpeiNomura,"2026-07-02 14:37:06",1177.8,2,shumpeinomura
5,16381823,"Yushin Ito","2026-06-25 10:35:16",1169.8,2,yushin505
6,16441533,kazuki0123,"2026-06-30 14:00:34",1161.3,2,kazuki0123
7,16375647,zoroark190,"2026-06-29 20:48:25",1145.2,2,zoroark190
8,16379469,aidy,"2026-07-01 01:56:13",1139.4,2,aidy1991
9,16372380,"THIRD PTCG Club","2026-07-01 15:12:14",1137.3,2,"shunrcn,simann"
10,16371466,btk15049,"2026-07-02 02:45:13",1127.2,2,btk15049
11,16371703,やる気元気ミワハルキ,"2026-07-02 11:34:33",1125.4,2,"cnumber,harukimiwa,masayoshi64,tomo0608"
12,16425162,Moegi,"2026-07-02 03:53:32",1121.4,2,mooegi
13,16451106,を,"2026-07-02 15:05:00",1119.2,2,"h4nuri,wotakumak,yopokemontcg"
14,16374997,"Michael Krager","2026-06-21 03:42:18",1116.6,2,michaelkrager
15,16385953,Ajishio,"2026-07-02 07:56:09",1111.1,2,ajishio
16,16391736,Akira-Ninth,"2026-06-26 09:48:36",1110.9,2,akirayoshimaru
17,16385372,kashiwashira,"2026-07-02 09:34:49",1108.5,2,kashiwashira
18,16389479,Bata09,"2026-07-02 14:54:42",1099.1,2,bata09
19,16372465,ykuroka,"2026-07-01 04:42:56",1094.6,2,ykuroka
20,16372292,yamy893,"2026-06-27 17:34:31",1093.6,2,yamy893
21,16411865,L7n,"2026-07-02 11:39:13",1092.4,2,znwe342
22,16373133,"takuya noto","2026-06-24 07:55:33",1089.0,2,takuyanoto
23,16435961,ezreal77,"2026-07-01 10:45:38",1087.0,2,ezreal77
24,16444876,L-WALID,"2026-07-02 00:12:48",1083.8,2,elwalidibrahim
25,16450654,YIN,"2026-07-01 23:07:17",1083.1,2,yuhsukein
26,16403402,takaygiiiiiiii,"2026-06-29 11:06:29",1081.4,2,takaygiiiiiiii
27,16445382,"Team BlackBox","2026-06-30 12:37:41",1081.2,2,koushikrudra
28,16378422,チームロスギラ,"2026-06-26 14:31:16",1080.6,2,hikaru2357
29,16445303,"Issac Netero","2026-07-02 12:44:46",1079.8,2,kohtashikiba
30,16372828,iwashi,"2026-06-30 19:41:23",1077.7,2,iwashi
31,16399504,gon_fox,"2026-06-28 06:57:02",1077.6,2,gonfox67
32,16391443,capbloo,"2026-06-29 08:46:50",1076.2,2,capbloo
33,16392367,みずあめ,"2026-06-23 06:23:50",1075.8,2,mizuamedesu
34,16377252,BioMath,"2026-07-02 01:36:38",1075.2,2,"columbia2131,renahayashi,shuichikudo"
35,16383193,"Sunny Nguyen","2026-07-02 15:24:20",1073.4,2,sunnynguyensanjoseca
36,16372425,tsukammo,"2026-07-02 01:24:55",1070.0,2,tsukammo
37,16376714,atom1231,"2026-07-02 13:48:49",1069.9,2,atom1231
38,16429603,CCoffie,"2026-07-02 15:50:12",1066.7,2,ccoffie
39,16375179,LagrangianLocomotive,"2026-07-02 15:31:19",1065.7,2,lagrangianlocomotive
40,16373853,Pokkén,"2026-06-28 13:11:59",1064.7,2,"denpa92,tcgengine,viewlagoon"
41,16382541,"TEAM NAME","2026-07-02 11:53:31",1064.5,2,celefefwefwe1
42,16372102,"TTT Is All You Need","2026-06-23 19:54:48",1064.4,2,"rionakamura10,togearitogenasi,togetogeyushin"
43,16386088,"Legend Brothers","2026-06-26 09:18:59",1064.2,2,"holeguma,shunhirota"
44,16455297,Gengar,"2026-07-02 09:50:34",1062.8,2,"hyunew,visterbai"
45,16418974,mikelou1,"2026-07-02 10:54:43",1060.0,2,mikelou1
46,16377364,"カドラバ Kadoraba","2026-07-02 01:30:39",1058.5,2,"daichishimada,heiseimikiko"
47,16385733,"Kazuta MIZUTA","2026-07-02 13:17:55",1055.4,2,kazutamizuta
48,16391395,djschmit,"2026-07-01 10:11:13",1055.4,2,djschmit
49,16373361,Kohenyan,"2026-06-20 17:56:49",1055.3,2,k0henyan
