TeamName,Score
Takeo Mitsumoto,633.7
romanohu,171.9
Shanmoshibo Heng,816.7
MyRoom,223.3
Takashiki,14.3
yashjakhar99,625.0
Ketchum Alt,997.1
Ahmet Abdullah Gültekin,454.2
Nghia Tran,1037.2
THE TORQUE WRENCHES,812.6
rick,937.7
bgsszsa,903.2
HayatoFujihara,940.9
Jales Ferreira,541.5
takuya asami,600.0
PLReddy23,289.5
Reinhard,635.6
Sunny Nguyen,1073.4
PokeMasters,597.6
nifuramu,725.9
Ken-ichi Ishii,331.7
kaerururu,718.3
Natsuki Kasubata,785.5
seven,732.9
aym283,743.2
kouta0226,536.5
FinlaMor,669.2
シャカパチロボ,635.4
thunder_ftg,785.4
soramame0311,686.3
viss,768.2
大久保寿人,713.9
laddaL,424.8
Jason Anderson,773.7
yoruno281,281.0
Oniku,885.2
DataLover,943.1
DaisukeFukuda6636,709.7
KTG,523.0
soraemon,856.1
kimkimkirn,630.1
koucha,959.6
yato higa,762.0
mitsuba,607.2
Salt708,506.4
katsudon 421,1150
Kaiya Kawata,859.2
筒井勝利,573.7
SHUBHOJIT NASKAR,817.9
okubyfire,417.9
Aditya Sharma,781.9
L7n,1092.4
kawauso,673.1
yucho147,626.8
Ortiz-AI Partners,471.5
hikimay,876.2
shinagawa monjiro,536.7
coba11,650.0
nmdcddwzml,482.7
Hitoshi Mochizuki,544.6
PavelLiashkov,615.1
Terminal 7,705.9
hannahepta,743.9
中村文彌,553.9
Seasaw,532.9
Why Is It So,326.0
himhim616,618.9
Zwieks,560.3
Takuro Abe,724.6
Matthew Ji,311.4
yakiniku.nagoya,754.6
hikahika,606.0
kawachi,1052.3
Ko,442.9
toru,545.8
iwata hiroki,945.6
Changyuan Chen,1016.4
Aoi Umigishi,527.5
[Deleted] 6b0fd188-7934-48ef-9477-b2651411d504,283.3
Chekhlov Dmitrii,540.4
Safiullah Baig,1150
André Fernandes,712.5
psyrax012,682.9
どんぐりん,756.3
poyothon,295.8
VeeVee!Go,624.2
Ultra7,343.8
banana,698.0
Tommy Mancino,772.0
Semih Işık,718.9
MelioniDas,523.4
NiaAtSyzd,547.5
pkchansanai,892.5
keta39,733.8
KAI JP,706.1
Blaine Hill,491.0
ryoooooo,478.4
mashirome,503.3
ZZZ gang ML clan team muxomor,895.8
PeterOldriver,346.9
Squirrel,591.8
HIROkkkki,479.6
haru0707,685.6
keitaro_nakashima,793.0
TTU Thome,934.7
PoKade,1045.9
Soshosai-Live!,766.5
S3R3Bii,672.0
TAKUMARU KOBO,506.2
niimi_kaggle,582.1
おちゃ,487.9
nalu0926,504.0
"Jhu, Jhe-Yi",812.8
cAco3,667.5
Pult Pounders ;),885.5
KE1TA0144,672.6
Tsubasa Kanno,702.7
yashilinnnnnn0216,505.8
Myagi,666.7
Hinapipipipi,528.9
TheDigitalCK,660.2
りんなな,469.4
🐱KittenLeague🐱,657.9
berry8192,582.2
Nullx2,700.6
Team HAL,850.0
cyan32,663.6
Tsuyoshi Fujii,454.0
nowan,871.6
Kotaro OKUYAMA,704.0
georgexue666,448.0
Syhhhhhhhhhhhh,798.2
f,777.7
Aarit Haldar,391.9
Indianelephant,773.8
HalfMoonbear2,606.4
ak4ne,619.8
yayoi111,692.1
MaggyoWIMPS,477.0
HSB,334.9
tsuvo,984.3
まきたくん,234.7
Teddy McBride,861.8
Metanoon,435.1
nishikawa,827.3
IamDiganta.7,813.3
ToGaChan,320.8
ShiumAI,1008.5
xo_oblz,744.3
huurou,436.6
Mega Layer eX,952.9
G_nuoh,727.9
SATOYUKI HATA,373.1
nanamituki,393.6
やる気元気ミワハルキ,1125.4
matcha110,942.8
kiyomaro026,405.3
mm-1989,628.2
Wejdan Al-Ahmadi,640.6
Naoki Maeda,817.7
s2terminal,522.9
Horikita Saku,709.0
Hamachi,988.2
wangyuou,881.0
trickstar,805.3
フクフク,789.7
monnu,1036.4
waiwai0121,670.2
Sanc Tuary,383.6
shushu,592.7
vvs,562.9
Raymond Brunell,756.4
haruki nishio,820.6
fp563yu,887.0
Natalia Jaśkowska,848.1
いせえび,753.5
y.y.y.1024,220.2
pes_magic,465.0
Ajishio,1111.1
suikkee,326.7
Hiromi Motodera,529.8
Ryota-Sasaki023,430.3
Teteapod,879.6
itohudo,656.1
Koshiro Yamada,248.2
Anna Wood,765.0
Hidaka,620.0
TOMONORI TAKEUCHI,659.5
hiroto fujimori,583.7
Pavel Pavlov,1051.3
dddmd,1028.3
Charon,712.0
yamamon,769.7
Hiểu Vy,713.7
kibake,702.0
LaiCxm,557.1
Akhil Kumar060,578.6
Nikita Babych,472.2
Neil Bhatkhande,442.1
yuki #6,645.3
KojiKRSE,715.5
Denki39,691.1
ShumingFang,576.2
Kuuma5,637.8
nogu,786.4
sakimyto,909.3
dev yankawa,896.6
Sukjae Cho,968.5
Simon-the-sorcerer,256.0
uma.k42.mr,617.8
DeeSaa,961.6
Maxwell Goisman,572.6
klog,988.3
SUN,769.6
David lillie,545.1
Ryosuke SHIMIZU,766.0
Shirag Maharaj,844.5
natz,657.6
Y.Kaisei,624.0
fumishiki,892.8
Ethan Yang,542.4
Shuren_Akane,467.0
Yasuharu Hirado,302.9
Kensei,645.7
Arbidos,721.4
ShumpeiNomura,1177.8
koshien1984,446.6
Yehun Jeon,575.7
PLUS OMI,297.5
Jahan Kazimi,556.6
Atamol,551.0
shimasoft,571.7
SHOICHIRO NISHIDA,691.9
Ethereal49,868.6
Dmitry Volovikov,919.7
Ajay_Rao_43,861.3
quwon_000,856.0
Shigeki,795.0
Kakeru Hashimoto kaito,570.5
Daniel Casellas,995.9
aa mujou,618.5
Kuga Miyabi,433.3
Hongbin Guokaggle,976.1
mushikera,987.5
Abhyuday,771.6
For Good Measure,752.6
chuchumon0411,813.3
Haiku,669.6
RLAP,483.4
Ehimen Nathaniel,754.4
Kakeru,734.0
磯部清介,551.2
Malton,545.9
suirindo,711.4
Tahsin Arafat,762.3
Pech1,716.7
ろう39,719.2
POKEDEMIA_ISSEI,630.2
Kasra Rahjerdi,713.5
One Turn Off Lethal,756.5
Saku Daku,328.0
MR.h,1021.9
Kimiaki Nakamura,1150
Pranay,593.1
cha7ura,750.0
hamza khokhar890,818.5
niino,460.7
Sanjay20052,583.1
KD,365.7
Kota Munaoka,490.6
Kinf11,897.7
인공저능연구소( Artificial Idiocy Lab ),948.6
Masatoshi Henmi,939.1
"shunsuke,nashiki",819.5
スズキケント,607.5
nya000000n,706.1
sunnariwakaru,600.6
nyanlinnmya,805.8
Rafael Flor Rodríguez-Rabadán,420.6
Tsukusim,357.6
Jun AKita,346.8
tennogh,823.7
ToMY F.,594.7
KuchiKiya,536.3
seiya.n21,819.4
マクリル（マクリル）,849.9
Kanata Iriyama,791.1
Thomas Young,481.9
okadayuki,553.3
s.kawabata0318,371.5
sakataxr,641.1
nathanmcateer,553.8
Brandon Ellis,496.2
Shoya Kurokawa,765.0
Akihiro Nomura,412.4
Billy Bradley,600.0
shu-piplup,769.9
ipruning,745.2
so-ta,648.7
nattomaki,1150
BlueSteel,533.5
茅島新矢,332.4
Abhishek Raghuwanshi,291.2
yawara,815.0
Will,808.4
kosuke-shimizu,879.0
koumiyata,656.6
FirstSS-Sub,1150
難波彰史,830.5
guohaowen,766.9
Bruno Jos/e Marques,630.9
masahiro katayama,499.9
shg195,908.1
tokimashita,859.9
makosukepapa,684.6
TwinTV,684.4
mo84dan5,632.7
Diego Pacheco,490.0
flaty,888.6
Mikio,724.6
テツノバスタ,759.9
YYma1201,702.4
Kazuhiro Masuyama,870.9
N.Takut,683.2
Junichi Hatano,507.7
Bakuney,919.7
Ghulam Ahmad,749.2
Rataro.S,580.8
Reossann,566.1
altvision,477.6
Liviu Alexandru Bobocu,516.7
niyo,973.6
msas111,817.9
Kazuki.kkkoizumi,483.5
tadashi04,624.2
MagicTrashBag,917.2
Isabella Wu,698.4
世界のたまちゃん,614.4
