archetype,games,share_pct,win_pct
Kangaskhan / Teal Mask Ogerpon,103,1.1,64.08
Dragapult / Blaziken,109,1.17,63.3
Kangaskhan / Latias,247,2.65,63.16
Rillaboom / Thwackey,53,0.57,62.26
N’s Zoroark / N’s Zorua,116,1.24,59.48
Thwackey / Dipplin,185,1.98,59.46
Dragapult / Meowth,591,6.33,58.04
Hydrapple / Teal Mask Ogerpon,227,2.43,56.39
Dragapult / Dudunsparce,57,0.61,56.14
Fezandipiti / Rillaboom,41,0.44,56.1
Lopunny / Teal Mask Ogerpon,102,1.09,54.9
Lucario / Hariyama,302,3.24,54.3
Venusaur / Teal Mask Ogerpon,40,0.43,52.5
Lopunny / Froslass,1001,10.73,51.65
Fezandipiti / Alakazam,1663,17.82,49.91
Rillaboom / Dipplin,47,0.5,48.94
Arboliva / Teal Mask Ogerpon,27,0.29,48.15
Kangaskhan / Cornerstone Mask Ogerpon,254,2.72,47.24
Team Rocket's Mewtwo / Team Rocket's Spidops,70,0.75,47.14
Marnie's Grimmsnarl / Marnie's Morgrem,2840,30.43,46.44
Teal Mask Ogerpon / Hero’s Cape,346,3.71,45.66
Cynthia's Garchomp / Cynthia's Gabite,101,1.08,44.55
Venusaur / Kangaskhan,34,0.36,44.12
Kangaskhan / Crustle,323,3.46,43.96
Lopunny / Lillie’s Clefairy,41,0.44,43.9
Lopunny / Dudunsparce,188,2.01,39.89
Alakazam / Kadabra,64,0.69,39.06
