archetype,exp_win_pct_vs_band,field_coverage_pct,n_band_games
N’s Zoroark / N’s Zorua,66.23,73.6,0
Kangaskhan / Teal Mask Ogerpon,65.56,71.5,0
Kangaskhan / Latias,63.38,81.6,0
Rillaboom / Thwackey,62.01,62.9,0
Thwackey / Dipplin,60.91,79.2,0
Cynthia's Garchomp / Cynthia's Gabite,59.31,62.9,0
Lucario / Hariyama,59.0,84.9,0
Dragapult / Meowth,58.93,92.6,0
Hydrapple / Teal Mask Ogerpon,58.36,81.6,0
Dragapult / Blaziken,57.77,68.0,0
Team Rocket's Mewtwo / Team Rocket's Spidops,55.05,68.0,0
Lopunny / Lillie’s Clefairy,54.4,62.9,0
Dragapult / Dudunsparce,53.78,68.0,0
Lopunny / Teal Mask Ogerpon,53.72,73.0,0
Lopunny / Froslass,51.21,97.0,0
Teal Mask Ogerpon / Hero’s Cape,50.08,80.7,0
Kangaskhan / Cornerstone Mask Ogerpon,46.68,78.6,0
Fezandipiti / Alakazam,45.38,97.9,15
Marnie's Grimmsnarl / Marnie's Morgrem,44.8,98.8,100
Kangaskhan / Crustle,40.93,78.9,0
Lopunny / Dudunsparce,38.62,74.5,0
Alakazam / Kadabra,34.43,62.9,0
