archetype,seats,raw_win_pct,deck_only_win_pct,ci_lo,ci_hi
Kangaskhan / Latias,79,63.29,61.16,50.64,68.89
Meganium / Hydrapple,60,58.33,61.06,52.15,72.1
Dragapult / Meowth,633,59.4,57.43,53.73,60.94
Hydrapple / Teal Mask Ogerpon,99,59.6,57.31,48.65,65.4
Teal Mask Ogerpon / Tapu Bulu,71,56.34,54.2,43.23,64.14
Lucario / Hariyama,331,55.89,53.83,48.43,57.65
Lopunny / Froslass,839,54.71,52.93,49.35,56.34
Thwackey / Dipplin,219,55.71,51.55,46.31,55.65
Kangaskhan / Teal Mask Ogerpon,120,53.33,50.95,44.6,61.97
Cynthia's Garchomp / Cynthia's Gabite,180,53.89,50.17,42.67,56.71
Fezandipiti / Alakazam,1617,49.91,47.34,44.64,50.32
Kangaskhan / Cornerstone Mask Ogerpon,309,47.57,47.24,43.02,52.21
Dragapult / Dudunsparce,76,48.68,46.95,39.11,56.78
Marnie's Grimmsnarl / Marnie's Morgrem,2926,46.58,44.08,41.69,46.3
Teal Mask Ogerpon / Hero’s Cape,243,43.62,42.55,35.87,48.26
Lopunny / Teal Mask Ogerpon,106,45.28,42.52,36.82,50.56
Lopunny / Dudunsparce,230,46.09,41.4,34.74,47.99
Kangaskhan / Crustle,332,38.86,37.33,32.43,43.01
