mine,theirs,games,win_pct
Marnie's Grimmsnarl / Marnie's Morgrem,Marnie's Grimmsnarl / Marnie's Morgrem,892,50.0
Fezandipiti / Alakazam,Marnie's Grimmsnarl / Marnie's Morgrem,505,42.18
Marnie's Grimmsnarl / Marnie's Morgrem,Fezandipiti / Alakazam,505,57.82
Fezandipiti / Alakazam,Fezandipiti / Alakazam,316,50.0
Lopunny / Froslass,Marnie's Grimmsnarl / Marnie's Morgrem,306,53.92
Marnie's Grimmsnarl / Marnie's Morgrem,Lopunny / Froslass,306,46.08
Marnie's Grimmsnarl / Marnie's Morgrem,Dragapult / Meowth,180,37.78
Dragapult / Meowth,Marnie's Grimmsnarl / Marnie's Morgrem,180,62.22
Lopunny / Froslass,Fezandipiti / Alakazam,173,43.35
Fezandipiti / Alakazam,Lopunny / Froslass,173,56.65
Marnie's Grimmsnarl / Marnie's Morgrem,Kangaskhan / Crustle,117,56.41
Kangaskhan / Crustle,Marnie's Grimmsnarl / Marnie's Morgrem,117,43.59
Teal Mask Ogerpon / Hero’s Cape,Marnie's Grimmsnarl / Marnie's Morgrem,102,87.25
Marnie's Grimmsnarl / Marnie's Morgrem,Teal Mask Ogerpon / Hero’s Cape,102,12.75
Fezandipiti / Alakazam,Dragapult / Meowth,94,30.85
Dragapult / Meowth,Fezandipiti / Alakazam,94,69.15
Lopunny / Froslass,Lopunny / Froslass,92,50.0
Marnie's Grimmsnarl / Marnie's Morgrem,Kangaskhan / Cornerstone Mask Ogerpon,83,39.76
Kangaskhan / Cornerstone Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,83,60.24
Marnie's Grimmsnarl / Marnie's Morgrem,Lucario / Hariyama,73,46.58
Lucario / Hariyama,Marnie's Grimmsnarl / Marnie's Morgrem,73,53.42
Thwackey / Dipplin,Marnie's Grimmsnarl / Marnie's Morgrem,70,64.29
Marnie's Grimmsnarl / Marnie's Morgrem,Thwackey / Dipplin,70,35.71
Marnie's Grimmsnarl / Marnie's Morgrem,Kangaskhan / Latias,63,28.57
Kangaskhan / Latias,Marnie's Grimmsnarl / Marnie's Morgrem,63,71.43
Marnie's Grimmsnarl / Marnie's Morgrem,Lopunny / Dudunsparce,61,40.98
Lopunny / Dudunsparce,Marnie's Grimmsnarl / Marnie's Morgrem,61,59.02
Kangaskhan / Crustle,Fezandipiti / Alakazam,57,47.37
Fezandipiti / Alakazam,Kangaskhan / Crustle,57,52.63
Teal Mask Ogerpon / Hero’s Cape,Fezandipiti / Alakazam,55,25.45
Fezandipiti / Alakazam,Teal Mask Ogerpon / Hero’s Cape,55,74.55
Lopunny / Froslass,Teal Mask Ogerpon / Hero’s Cape,54,81.48
Teal Mask Ogerpon / Hero’s Cape,Lopunny / Froslass,54,18.52
Dragapult / Meowth,Lopunny / Froslass,53,43.4
Lopunny / Froslass,Dragapult / Meowth,53,56.6
Fezandipiti / Alakazam,Hydrapple / Teal Mask Ogerpon,50,68.0
Hydrapple / Teal Mask Ogerpon,Fezandipiti / Alakazam,50,32.0
Kangaskhan / Latias,Lucario / Hariyama,49,77.55
Lucario / Hariyama,Kangaskhan / Latias,49,22.45
Kangaskhan / Cornerstone Mask Ogerpon,Fezandipiti / Alakazam,48,25.0
Fezandipiti / Alakazam,Kangaskhan / Cornerstone Mask Ogerpon,48,75.0
Hydrapple / Teal Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,46,65.22
Marnie's Grimmsnarl / Marnie's Morgrem,Hydrapple / Teal Mask Ogerpon,46,34.78
Fezandipiti / Alakazam,Lucario / Hariyama,41,48.78
Lucario / Hariyama,Fezandipiti / Alakazam,41,51.22
Dragapult / Meowth,Dragapult / Meowth,34,50.0
Kangaskhan / Latias,Fezandipiti / Alakazam,33,57.58
Fezandipiti / Alakazam,Kangaskhan / Latias,33,42.42
Marnie's Grimmsnarl / Marnie's Morgrem,Dragapult / Blaziken,33,42.42
Dragapult / Blaziken,Marnie's Grimmsnarl / Marnie's Morgrem,33,57.58
Lopunny / Froslass,Kangaskhan / Cornerstone Mask Ogerpon,33,69.7
Kangaskhan / Cornerstone Mask Ogerpon,Lopunny / Froslass,33,30.3
Lopunny / Froslass,Kangaskhan / Crustle,33,63.64
Kangaskhan / Crustle,Lopunny / Froslass,33,36.36
Lucario / Hariyama,Lopunny / Froslass,32,90.62
Lopunny / Froslass,Lucario / Hariyama,32,9.38
Hydrapple / Teal Mask Ogerpon,Lopunny / Froslass,31,80.65
Lopunny / Froslass,Hydrapple / Teal Mask Ogerpon,31,19.35
Marnie's Grimmsnarl / Marnie's Morgrem,Cynthia's Garchomp / Cynthia's Gabite,31,51.61
Cynthia's Garchomp / Cynthia's Gabite,Marnie's Grimmsnarl / Marnie's Morgrem,31,48.39
Fezandipiti / Alakazam,Lopunny / Dudunsparce,31,87.1
Lopunny / Dudunsparce,Fezandipiti / Alakazam,31,12.9
Marnie's Grimmsnarl / Marnie's Morgrem,Lopunny / Teal Mask Ogerpon,31,32.26
Lopunny / Teal Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,31,67.74
Dragapult / Meowth,Teal Mask Ogerpon / Hero’s Cape,28,64.29
Teal Mask Ogerpon / Hero’s Cape,Dragapult / Meowth,28,35.71
Kangaskhan / Crustle,Dragapult / Meowth,27,40.74
Dragapult / Meowth,Kangaskhan / Crustle,27,59.26
Marnie's Grimmsnarl / Marnie's Morgrem,Kangaskhan / Teal Mask Ogerpon,26,19.23
Kangaskhan / Teal Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,26,80.77
Lopunny / Dudunsparce,Lopunny / Froslass,25,20.0
Lopunny / Froslass,Lopunny / Dudunsparce,25,80.0
Fezandipiti / Alakazam,Thwackey / Dipplin,25,28.0
Thwackey / Dipplin,Fezandipiti / Alakazam,25,72.0
Team Rocket's Mewtwo / Team Rocket's Spidops,Marnie's Grimmsnarl / Marnie's Morgrem,24,50.0
Marnie's Grimmsnarl / Marnie's Morgrem,Team Rocket's Mewtwo / Team Rocket's Spidops,24,50.0
Fezandipiti / Alakazam,Lopunny / Teal Mask Ogerpon,24,41.67
Lopunny / Teal Mask Ogerpon,Fezandipiti / Alakazam,24,58.33
Kangaskhan / Latias,Lopunny / Froslass,24,66.67
Lopunny / Froslass,Kangaskhan / Latias,24,33.33
Marnie's Grimmsnarl / Marnie's Morgrem,N’s Zoroark / N’s Zorua,23,17.39
N’s Zoroark / N’s Zorua,Marnie's Grimmsnarl / Marnie's Morgrem,23,82.61
Kangaskhan / Teal Mask Ogerpon,Fezandipiti / Alakazam,23,47.83
Fezandipiti / Alakazam,Kangaskhan / Teal Mask Ogerpon,23,52.17
Fezandipiti / Alakazam,Dragapult / Blaziken,23,43.48
Dragapult / Blaziken,Fezandipiti / Alakazam,23,56.52
N’s Zoroark / N’s Zorua,Fezandipiti / Alakazam,22,40.91
Fezandipiti / Alakazam,N’s Zoroark / N’s Zorua,22,59.09
Dragapult / Meowth,Kangaskhan / Cornerstone Mask Ogerpon,21,23.81
Kangaskhan / Cornerstone Mask Ogerpon,Dragapult / Meowth,21,76.19
Lopunny / Froslass,Thwackey / Dipplin,20,60.0
Thwackey / Dipplin,Lopunny / Froslass,20,40.0
Dragapult / Meowth,Hydrapple / Teal Mask Ogerpon,19,36.84
Hydrapple / Teal Mask Ogerpon,Dragapult / Meowth,19,63.16
Marnie's Grimmsnarl / Marnie's Morgrem,Fezandipiti / Rillaboom,19,47.37
Fezandipiti / Rillaboom,Marnie's Grimmsnarl / Marnie's Morgrem,19,52.63
Marnie's Grimmsnarl / Marnie's Morgrem,Alakazam / Kadabra,18,66.67
Alakazam / Kadabra,Marnie's Grimmsnarl / Marnie's Morgrem,18,33.33
Teal Mask Ogerpon / Hero’s Cape,Teal Mask Ogerpon / Hero’s Cape,18,50.0
Rillaboom / Thwackey,Marnie's Grimmsnarl / Marnie's Morgrem,17,52.94
Marnie's Grimmsnarl / Marnie's Morgrem,Rillaboom / Thwackey,17,47.06
Marnie's Grimmsnarl / Marnie's Morgrem,Dragapult / Dudunsparce,17,41.18
Dragapult / Dudunsparce,Marnie's Grimmsnarl / Marnie's Morgrem,17,58.82
Dragapult / Meowth,Lopunny / Dudunsparce,16,93.75
Lopunny / Dudunsparce,Dragapult / Meowth,16,6.25
Alakazam / Kadabra,Fezandipiti / Alakazam,16,25.0
Fezandipiti / Alakazam,Alakazam / Kadabra,16,75.0
Team Rocket's Mewtwo / Team Rocket's Spidops,Fezandipiti / Alakazam,16,87.5
Fezandipiti / Alakazam,Team Rocket's Mewtwo / Team Rocket's Spidops,16,12.5
Dragapult / Meowth,Lucario / Hariyama,16,37.5
Lucario / Hariyama,Dragapult / Meowth,16,62.5
Marnie's Grimmsnarl / Marnie's Morgrem,Rillaboom / Dipplin,16,37.5
Rillaboom / Dipplin,Marnie's Grimmsnarl / Marnie's Morgrem,16,62.5
N’s Zoroark / N’s Zorua,Lucario / Hariyama,15,33.33
Lucario / Hariyama,N’s Zoroark / N’s Zorua,15,66.67
Kangaskhan / Latias,Hydrapple / Teal Mask Ogerpon,14,35.71
Hydrapple / Teal Mask Ogerpon,Kangaskhan / Latias,14,64.29
Venusaur / Teal Mask Ogerpon,Marnie's Grimmsnarl / Marnie's Morgrem,14,71.43
Marnie's Grimmsnarl / Marnie's Morgrem,Venusaur / Teal Mask Ogerpon,14,28.57
Lopunny / Lillie’s Clefairy,Marnie's Grimmsnarl / Marnie's Morgrem,13,46.15
Marnie's Grimmsnarl / Marnie's Morgrem,Lopunny / Lillie’s Clefairy,13,53.85
Hydrapple / Teal Mask Ogerpon,Lucario / Hariyama,12,25.0
Lucario / Hariyama,Hydrapple / Teal Mask Ogerpon,12,75.0
Cynthia's Garchomp / Cynthia's Gabite,Fezandipiti / Alakazam,12,33.33
Fezandipiti / Alakazam,Cynthia's Garchomp / Cynthia's Gabite,12,66.67
N’s Zoroark / N’s Zorua,Lopunny / Froslass,12,83.33
Lopunny / Froslass,N’s Zoroark / N’s Zorua,12,16.67
Dragapult / Meowth,N’s Zoroark / N’s Zorua,12,33.33
N’s Zoroark / N’s Zorua,Dragapult / Meowth,12,66.67
Lopunny / Froslass,Dragapult / Blaziken,12,50.0
Dragapult / Blaziken,Lopunny / Froslass,12,50.0
Kangaskhan / Teal Mask Ogerpon,Lucario / Hariyama,11,72.73
Lucario / Hariyama,Kangaskhan / Teal Mask Ogerpon,11,27.27
Cynthia's Garchomp / Cynthia's Gabite,Lopunny / Froslass,11,90.91
Lopunny / Froslass,Cynthia's Garchomp / Cynthia's Gabite,11,9.09
Lopunny / Froslass,Alakazam / Kadabra,11,45.45
Alakazam / Kadabra,Lopunny / Froslass,11,54.55
Kangaskhan / Latias,Dragapult / Meowth,11,72.73
Dragapult / Meowth,Kangaskhan / Latias,11,27.27
