team,games,wins,win_pct,modal_archetype
Dipam Chakraborty,202,134,66.34,Dragapult / Meowth
Luca,165,105,63.64,N’s Zoroark / N’s Zorua
カントー地方マスター(KantoRegionMaster),180,104,57.78,Marnie's Grimmsnarl / Marnie's Morgrem
ANDPAD kaggler team,180,104,57.78,Fezandipiti / Alakazam
M Sato,145,94,64.83,Lopunny / Froslass
LumenLiquidity,152,94,61.84,Dragapult / Blaziken
Kh0a,143,85,59.44,Dragapult / Meowth
Thai,132,83,62.88,Kangaskhan / Latias
DavidFreelan,135,75,55.56,Lopunny / Froslass
Sixth Sense,124,72,58.06,Thwackey / Dipplin
matsurih,135,72,53.33,Lopunny / Froslass
Majkel1337,143,71,49.65,Lucario / Hariyama
213tubo,96,64,66.67,Dragapult / Meowth
AlphaStarmie,108,63,58.33,Fezandipiti / Alakazam
Lunariz,110,63,57.27,Marnie's Grimmsnarl / Marnie's Morgrem
James Cox & Henry Chao,84,54,64.29,Kangaskhan / Teal Mask Ogerpon
wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,83,54,65.06,Lopunny / Froslass
你好哇,101,53,52.48,Marnie's Grimmsnarl / Marnie's Morgrem
palsystem,91,51,56.04,Hydrapple / Teal Mask Ogerpon
MissingNo.,75,51,68.0,Kangaskhan / Cornerstone Mask Ogerpon
"Bart, Edwyn",92,50,54.35,Fezandipiti / Alakazam
THIRD PTCG Club,83,49,59.04,Dragapult / Meowth
Dries @ Tufa Labs,81,48,59.26,Marnie's Grimmsnarl / Marnie's Morgrem
Boseiju,99,48,48.48,Marnie's Grimmsnarl / Marnie's Morgrem
PP kawada,82,46,56.1,Thwackey / Dipplin
sadwat,79,43,54.43,Lopunny / Froslass
Raihan Ramadistra,74,42,56.76,Marnie's Grimmsnarl / Marnie's Morgrem
Battle Data Base,80,41,51.25,Lopunny / Teal Mask Ogerpon
S4nkurero,77,40,51.95,Fezandipiti / Alakazam
vvs,66,38,57.58,Fezandipiti / Alakazam
Pokemon Siuuuu,57,37,64.91,Dragapult / Meowth
haggle,69,37,53.62,Marnie's Grimmsnarl / Marnie's Morgrem
e-toppo + kurupical,63,37,58.73,Dragapult / Meowth
base_camp_2002,75,36,48.0,Marnie's Grimmsnarl / Marnie's Morgrem
Oleksandr_Savsunenko,68,36,52.94,Lucario / Hariyama
Petit Canard,60,35,58.33,Fezandipiti / Alakazam
MtN,66,35,53.03,Marnie's Grimmsnarl / Marnie's Morgrem
爆爆盛焼脂油麺,64,35,54.69,Fezandipiti / Alakazam
Yopta,67,34,50.75,Marnie's Grimmsnarl / Marnie's Morgrem
LiamK,73,33,45.21,Lopunny / Froslass
flg,59,33,55.93,Marnie's Grimmsnarl / Marnie's Morgrem
Magist,66,33,50.0,Marnie's Grimmsnarl / Marnie's Morgrem
ShumpeiNomura,58,33,56.9,Kangaskhan / Latias
wkonishi,68,32,47.06,Fezandipiti / Alakazam
RtoABC,56,32,57.14,Dragapult / Dudunsparce
Boss's Orders Are All You Need,62,31,50.0,Team Rocket's Mewtwo / Team Rocket's Spidops
Benarg,62,31,50.0,Lopunny / Froslass
想要成为kaggle大师,59,31,52.54,Lopunny / Froslass
YumeNeko,61,31,50.82,Marnie's Grimmsnarl / Marnie's Morgrem
Team Rot-Weiß,61,30,49.18,Fezandipiti / Alakazam
doctorw,58,30,51.72,Marnie's Grimmsnarl / Marnie's Morgrem
hatry,59,30,50.85,Marnie's Grimmsnarl / Marnie's Morgrem
cm391,65,30,46.15,Lopunny / Froslass
sobameshi,62,30,48.39,Teal Mask Ogerpon / Hero’s Cape
