collecting episode ids...
downloading 40 replays...
=== METAGAME ===
parsed 41 games from 41 replays; 33 distinct decks

deck                                        seen  winrate  teams
Mega Lucario ex                               36     50%  Muhammad Ibrahim Qasmi, NCSSM, s.kawabata0318
Mega Abomasnow ex                             14     57%  NCSSM, LunarLabs, zhang et al.
Dwebble / Crustle                              2     50%  hosaka kodai, ankounabe114
Dwebble / Crustle                              1    100%  Tae Shin
Mega Lucario ex                                1      0%  BlueBuild4
Fezandipiti ex                                 1      0%  sakuyuna
Fezandipiti ex / Latias ex                     1    100%  ろう39
Pikachu ex / Miraidon ex                       1      0%  junXD5
Mega Kangaskhan ex                             1      0%  Francesco Sardo
Mega Lucario ex                                1    100%  Blacklions.
Mega Lucario ex                                1    100%  shi
Mega Lucario ex                                1    100%  toshizo
Mega Abomasnow ex                              1      0%  Sima Sinha
Mega Diancie ex                                1      0%  Team Rocket
Mega Lucario ex                                1    100%  Kenst Ligu
HARVEST DONE
