collecting episode ids...
downloading 101 replays...
=== METAGAME ===
parsed 101 games from 101 replays; 70 distinct decks

deck                                        seen  winrate  teams
Mega Abomasnow ex                             78     42%  michaeloblak, LunarLabs, Yuta_poke
Mega Lucario ex                               49     51%  Yohei Fushii, patamaru, s.kawabata0318
Dragapult ex / Fezandipiti ex                  4     50%  sironekosama, kurushun, LumenLiquidity
Mega Abomasnow ex                              3     33%  Sima Sinha, Hiroyuki Jodai, Jakub Pasečný (Fujka293)
Mega Lucario ex                                2    100%  shi, ruce015555
Dwebble / Crustle                              2     50%  ankounabe114, hosaka kodai
Dwebble / Crustle                              1    100%  Tae Shin
Mega Lucario ex                                1      0%  BlueBuild4
Fezandipiti ex                                 1      0%  sakuyuna
Fezandipiti ex / Latias ex                     1    100%  ろう39
Pikachu ex / Miraidon ex                       1      0%  junXD5
Fezandipiti ex                                 1    100%  takuya noto
Dudunsparce / Dunsparce                        1    100%  THAI TA
Mega Kangaskhan ex                             1      0%  Francesco Sardo
Mega Lucario ex                                1    100%  Tsutsu_01
HARVEST DONE
